lam,p,Accuracy,Precision,Recall,F1,Accuracy Std,Precision Std,Recall Std,F1 Std
1000000000,0.01,0.9031158326143227,0.9026263490112093,0.9036882651315354,0.9026065384011105,0.01626796056834454,0.01588996324410674,0.016460285650234968,0.016287145911782767
100000000,0.001,0.9021354616048317,0.9019798846094282,0.9022867039417835,0.9016096055084747,0.01842819357420672,0.018612395852180524,0.01810273376148861,0.018402183048007812
1000000000,0.005,0.9011507765314928,0.9010615799455053,0.9014467577650859,0.9006243798940595,0.02169379673805621,0.02171656373048796,0.021210715300098076,0.02167382728041497
1000000000,0.001,0.9008315358067298,0.9008497172075035,0.9010709883730821,0.9004725480022108,0.02371279136486549,0.02392022100181582,0.023679679005620277,0.023921559538361222
1000000000,0.05,0.8962359792924935,0.8955882384173254,0.8964692893284021,0.8954249520064204,0.02172476041773846,0.02153268716751515,0.021652219471539794,0.02176668014860527
100000000,0.005,0.8952480586712683,0.8948309942997538,0.8956537339285274,0.8945108995060617,0.017289111570103724,0.018022456789886468,0.017385273620642027,0.017396392730744586
100000000,0.01,0.8926164797239,0.8922324616515601,0.8926408569139633,0.891895863326788,0.016455218285441674,0.016696463509799978,0.016207091109349148,0.01642777447111398
1000000000,0.1,0.8926100086281277,0.8926099681415035,0.8923633799068383,0.8919541331961319,0.01865526914165972,0.01938205036641471,0.019466058416783786,0.019318510888356573
10000000,0.001,0.8807937877480587,0.8798255011757277,0.8810297762294791,0.8796376882300349,0.01550566221170762,0.01537770011024065,0.014326336771766533,0.015041246603565095
100000000,0.05,0.8735591026747196,0.8738372861150859,0.8735608549780179,0.8727719103220221,0.019035336943365525,0.019366554252004717,0.019480668860656337,0.01937388614704576
10000000,0.005,0.8643766177739429,0.864385929031066,0.8645535522351511,0.8634913465515155,0.012891327645934359,0.01288299745308908,0.013603478294025988,0.013209280845084909
100000000,0.1,0.8610936151855046,0.8610378782623384,0.861192894590836,0.8603108961454711,0.017689828672588045,0.017496588686086955,0.018535983454741372,0.018344618185991167
10000000,0.01,0.8604346419327005,0.8598504527875288,0.8606024848963282,0.8594271542752102,0.01557347191778066,0.015358988739094692,0.015988263413724835,0.015738349224986285
1000000,0.001,0.8538600086281278,0.8539206656086012,0.8535687937646047,0.8528693690658742,0.009962014914864665,0.010453439383335653,0.011531679440967491,0.011479718716510053
10000000,0.05,0.8509059534081104,0.8523785876921208,0.8504518365632341,0.8499339413286021,0.01818002567610849,0.018130252876409944,0.018160288913152516,0.018269967240529886
1000000,0.01,0.8463168679896462,0.8457075486729726,0.8461197676161906,0.8450396876256248,0.015344834819972562,0.015798370261373346,0.016667829432817968,0.01631846689295827
10000000,0.1,0.8449892148403796,0.8459081825880517,0.8452025080006855,0.8442567327796289,0.00953931388692319,0.01035061114090962,0.010814961265136473,0.010005560469861785
1000000,0.005,0.8404001294219154,0.8397010605003814,0.8401763206421503,0.8387688753892146,0.016167331603208445,0.017454101004715016,0.018995466513167535,0.018729775093873625
100000,0.001,0.8361356773080242,0.8354609535292562,0.8355490038034279,0.8348649865733373,0.016878801854887944,0.017686818861987346,0.017754120267254744,0.017766955411330256
1000000,0.05,0.824315142364107,0.823998899523688,0.8229922248728542,0.8223085026704892,0.014900347531073516,0.017114285115875438,0.019218332743752457,0.018378465654752874
100000,0.005,0.8207031924072477,0.8192593161367906,0.8206246666575246,0.8190459489338109,0.019647703441165655,0.02103300274794823,0.021378545788818315,0.020608999555731297
1000000,0.1,0.8098651855047455,0.8119668099536769,0.8107055319016496,0.8096790326033073,0.014996171702608769,0.01640466894613252,0.01642100648424681,0.01620504982636205
100000,0.01,0.8042957290767904,0.8041503732973994,0.8044882509578152,0.8031279433102447,0.02093706570125816,0.021997350427913433,0.023732205993814516,0.02325252215098716
10000,0.001,0.7980446505608283,0.7985904461634838,0.7977666650110918,0.7969324239831954,0.016427408396631156,0.01758442574841612,0.018746985880376692,0.01811923062119799
100000,0.05,0.7724298964624676,0.7745161044833189,0.7727350722869645,0.7719947523030243,0.017410643919586733,0.018191929901611736,0.01811759872289592,0.01781834398772848
10000,0.005,0.7684976272648835,0.7695242661823085,0.7694475434489869,0.76814375387895,0.021736742829382403,0.022878580095950386,0.02219586995970494,0.02254920990896975
100000,0.1,0.7592903364969801,0.7625802371202213,0.7585830857011463,0.7581348105755286,0.013231716455505029,0.014962200151156424,0.015693897595553154,0.015381291667510653
1000,0.001,0.7487866695427093,0.7489861994097649,0.7481287138892164,0.747603961370547,0.02027660391334272,0.021163686384621433,0.022187861423197397,0.021484344948856177
10000,0.01,0.7435245901639345,0.7448083879676195,0.7438486592126715,0.7428228410277935,0.022756018313707674,0.02308185387392348,0.02442053245408835,0.02348282827846143
10000,0.05,0.7264495254529767,0.7303381486596482,0.7249741014606597,0.7247799508513346,0.019476150616041684,0.020131627864352852,0.021670929748593235,0.021836580443900345
1000,0.005,0.710685936151855,0.7111803123692396,0.7085544426642831,0.7083421221735635,0.021138296992314072,0.023009964639483835,0.022127521893657784,0.021890340364252435
1000,0.01,0.698213977566868,0.6997806406032219,0.695062981229879,0.6952162287627562,0.017788918954911,0.02135478525016147,0.01998593585264175,0.020116262522212935
10000,0.1,0.6929454270923209,0.697412620205798,0.6899612067644587,0.6907775137489061,0.023404042619468546,0.022954732800003,0.02524705989344232,0.02502164556052007
100,0.001,0.6824298964624677,0.6839324489302099,0.6792006968699607,0.6789714726165249,0.02915528661276165,0.0299004274288804,0.0319409424398531,0.03201599586459514
1000,0.05,0.6519132873166523,0.6577720483253264,0.6465055655588479,0.6458240985159913,0.02798998369654945,0.03219773817477814,0.03300197899786171,0.0321530264529922
100,0.005,0.6364732528041415,0.6383687140319678,0.6316541793161171,0.630426500121165,0.022951841806791492,0.025564943133062745,0.02665828956028482,0.026580190498652526
100,0.01,0.6269596635030199,0.6315254865680787,0.620163266483744,0.6186874397521401,0.024982390002462995,0.027001526892624656,0.026606456878423845,0.026417628521294072
1000,0.1,0.6243334771354616,0.6316680798567044,0.6163734323607295,0.6148740967238233,0.03134880431493062,0.028774873051206677,0.03289867298065785,0.03534811092688874
100,0.05,0.5724374460742019,0.5796180903418506,0.5644263880934449,0.5590108360113328,0.02430210336774839,0.024537096829649833,0.021435180741134062,0.02174017541563305
100,0.1,0.5704659188955996,0.5737525551247853,0.5602306796623281,0.5507096237367052,0.025189057057806104,0.019012118712408817,0.019200982814267006,0.023172721802014712
